City,Lat,Long,Temp,Max Temp,Min Temp,Humidity,Clouds,Wind,Country,Datetime
carnarvon,-24.8667,113.6333,24.22,24.22,24.22,76,0,8.94,AU,1674925349
hithadhoo,-0.6,73.0833,27.66,27.66,27.66,76,88,5.64,MV,1674925220
mahebourg,-20.4081,57.7,26.25,26.25,26.25,85,76,1.79,MU,1674925350
fairbanks,64.8378,-147.7164,-9.3,-8.84,-12.81,83,100,0.28,US,1674925350
faanui,-16.4833,-151.75,27.24,27.24,27.24,72,13,6.48,PF,1674925350
anguillara sabazia,42.0875,12.2767,6.41,7.5,5.06,68,78,2.54,IT,1674925351
butaritari,3.0707,172.7902,27.18,27.18,27.18,78,13,11.49,KI,1674925352
guerrero negro,27.9769,-114.0611,16.25,16.25,16.25,47,94,2.02,MX,1674925352
khatanga,71.9667,102.5,-31.9,-31.9,-31.9,90,30,3.93,RU,1674925352
victoria,22.2855,114.1577,12.5,13.03,10.53,29,25,5.36,HK,1674925258
hermanus,-34.4187,19.2345,18.22,18.22,18.22,70,100,7.69,ZA,1674925352
hilo,19.7297,-155.09,20.17,21.27,18.3,89,100,1.79,US,1674925353
upernavik,72.7868,-56.1549,-18.66,-18.66,-18.66,92,100,1.27,GL,1674925353
punta arenas,-53.15,-70.9167,15.62,15.62,15.62,48,70,8.61,CL,1674925353
albany,42.6001,-73.9662,6.01,6.83,4.65,48,41,1.34,US,1674925354
honiara,-9.4333,159.95,25.79,25.79,25.79,86,97,0.54,SB,1674925354
marawi,7.9986,124.2928,19.76,19.76,19.76,97,85,1.02,PH,1674925354
new norfolk,-42.7826,147.0587,13.1,15.72,12.18,65,48,1.01,AU,1674925355
nemuro,43.3236,145.575,-8.26,-8.26,-8.26,71,89,10.44,JP,1674925206
manoel urbano,-8.8389,-69.2597,28.9,28.9,28.9,71,88,2.27,BR,1674925355
sterling,39.0062,-77.4286,10.3,11.86,8.75,46,75,6.26,US,1674925355
sisimiut,66.9395,-53.6735,-10.77,-10.77,-10.77,83,100,8.09,GL,1674925355
yenagoa,4.9247,6.2642,28.07,28.07,28.07,71,98,3.33,NG,1674925355
port alfred,-33.5906,26.891,20.1,20.1,20.1,91,39,1.79,ZA,1674925356
yumen,40.2833,97.2,-8.84,-8.84,-8.84,36,3,5.19,CN,1674925356
mataura,-46.1927,168.8643,9.07,9.07,9.07,98,0,0.38,NZ,1674925356
hobart,-42.8794,147.3294,14.81,15.92,12.37,82,38,2.57,AU,1674925065
lebu,-37.6167,-73.65,18.2,18.2,18.2,63,0,9.18,CL,1674925356
xiuyan,40.2928,123.2744,-8.44,-8.44,-8.44,58,2,0.98,CN,1674925356
solnechnyy,50.7214,136.6319,-31.04,-31.04,-31.04,96,33,1.72,RU,1674925357
kursavka,44.4564,42.5093,-0.63,-0.63,-0.63,92,100,4.17,RU,1674925357
buchanan,5.8808,-10.0467,28.16,28.16,28.16,69,62,4.61,LR,1674925357
kavaratti,10.5669,72.642,26.69,26.69,26.69,72,4,4.55,IN,1674925358
baruun-urt,46.6806,113.2792,-15.31,-15.31,-15.31,85,25,4.22,MN,1674925358
mehamn,71.0357,27.8492,-4.03,-0.05,-4.03,86,100,4.12,NO,1674925358
puerto ayora,-0.7393,-90.3518,26.42,26.42,26.42,88,51,2.68,EC,1674925358
waddan,29.1614,16.139,12.89,12.89,12.89,25,0,3.13,LY,1674925359
rikitea,-23.1203,-134.9692,25.81,25.81,25.81,74,62,4.62,PF,1674925359
general roca,-39.0333,-67.5833,35.35,35.35,35.35,18,0,6.63,AR,1674925359
vaini,-21.2,-175.2,27.06,27.06,27.06,77,55,2.88,TO,1674925359
ushuaia,-54.8,-68.3,14.81,14.81,14.79,47,20,11.83,AR,1674925081
cidreira,-30.1811,-50.2056,27.97,27.97,27.97,69,38,5.2,BR,1674925360
severo-kurilsk,50.6789,156.125,-3.79,-3.79,-3.79,74,100,6.15,RU,1674925360
hamilton,39.1834,-84.5333,9.19,10.36,7.36,56,0,5.66,US,1674925360
pacific grove,36.6177,-121.9166,9.06,10.24,6.82,89,0,3.58,US,1674925361
yulara,-25.2406,130.9889,23.95,23.95,23.95,76,100,1.45,AU,1674925164
georgetown,5.4112,100.3354,26.96,26.96,26.64,69,20,4.63,MY,1674925313
kapaa,22.0752,-159.319,18.68,19.5,17.84,78,76,0.45,US,1674925361
arraial do cabo,-22.9661,-42.0278,30.92,30.92,30.92,70,0,7.72,BR,1674925362
ilulissat,69.2167,-51.1,-8.99,-8.99,-8.99,79,75,7.2,GL,1674925362
marzuq,14.4,46.4667,17.84,17.84,17.84,62,87,2.48,YE,1674925362
nhulunbuy,-12.2333,136.7667,25.34,25.34,25.34,94,40,1.54,AU,1674925362
balkanabat,39.5108,54.3671,3.72,3.72,3.72,45,0,2.88,TM,1674925363
thompson,55.7435,-97.8558,-25.12,-25.12,-25.12,90,90,4.27,CA,1674925363
busselton,-33.65,115.3333,14.32,14.32,14.32,72,29,6.27,AU,1674925209
rio gallegos,-51.6226,-69.2181,23.17,23.17,23.17,27,20,7.3,AR,1674925363
cedar city,37.6775,-113.0619,-2.46,-2.46,-2.46,74,0,0.0,US,1674925363
logan lake,50.4998,-120.8025,-7.1,-7.1,-7.1,91,91,3.73,CA,1674925364
yarkovo,57.4028,67.0786,-8.25,-8.25,-8.25,94,88,2.46,RU,1674925364
leh,34.1667,77.5833,-10.1,-10.1,-10.1,79,99,1.11,IN,1674925364
ponta do sol,32.6667,-17.1,16.44,17.62,15.35,65,81,3.0,PT,1674925364
jamestown,42.097,-79.2353,1.73,1.8,-0.16,60,20,8.23,US,1674925133
tuktoyaktuk,69.4541,-133.0374,-26.52,-26.52,-26.52,98,25,4.98,CA,1674925365
pevek,69.7008,170.3133,-19.42,-19.42,-19.42,93,100,1.37,RU,1674925366
cabo san lucas,22.8909,-109.9124,22.03,22.17,20.1,63,20,1.54,MX,1674925366
puerto del rosario,28.5004,-13.8627,17.86,17.86,17.86,59,75,9.77,ES,1674925366
saskylakh,71.9167,114.0833,-41.34,-41.34,-41.34,100,98,1.36,RU,1674925366
chuy,-33.6971,-53.4616,26.12,26.12,26.12,67,98,2.22,UY,1674925366
ribeira grande,38.5167,-28.7,16.22,16.22,15.99,67,40,5.66,PT,1674925367
wakkanai,45.4094,141.6739,-6.41,-6.41,-6.41,79,99,13.15,JP,1674925070
fortuna,40.5982,-124.1573,7.39,8.29,4.08,91,100,3.09,US,1674925367
bahia honda,22.9036,-83.1592,27.42,27.42,27.42,63,56,5.38,CU,1674925367
mandalgovi,45.7625,106.2708,-11.94,-11.94,-11.94,71,0,3.21,MN,1674925367
lorengau,-2.0226,147.2712,26.91,26.91,26.91,81,47,2.56,PG,1674925367
tromso,69.6496,18.957,-0.35,0.01,-0.35,86,75,8.75,NO,1674925368
poum,-20.2333,164.0167,26.53,26.53,26.53,79,100,3.25,NC,1674925368
san patricio,28.017,-97.5169,18.57,19.93,16.2,86,99,4.27,US,1674925368
smolenka,52.1352,113.4974,-10.96,-10.96,-10.96,62,8,7.0,RU,1674925368
shaunavon,49.6501,-108.4181,-19.52,-19.52,-19.52,90,94,7.52,CA,1674925369
lensk,60.7253,114.9278,-25.17,-25.17,-25.17,100,100,1.11,RU,1674925177
husavik,66.0449,-17.3389,3.19,3.19,3.19,87,100,4.72,IS,1674925369
saldanha,-33.0117,17.9442,17.82,17.82,17.82,71,50,15.11,ZA,1674925370
east london,-33.0153,27.9116,22.42,22.42,22.42,82,71,9.12,ZA,1674925370
kochi,9.9399,76.2602,25.99,25.99,25.99,77,1,1.96,IN,1674924861
kabinda,-6.1333,24.4833,21.03,21.03,21.03,90,67,1.97,CD,1674925370
la rioja,42.25,-2.5,0.88,0.88,0.88,96,100,5.08,ES,1674925370
provideniya,64.3833,-173.3,-9.36,-9.36,-9.36,96,100,1.16,RU,1674925371
turochak,52.2576,87.1224,-19.1,-19.1,-19.1,100,80,1.26,RU,1674925371
asau,46.4333,26.4,-1.49,-1.49,-1.51,87,100,2.67,RO,1674925371
linxia,35.6003,103.2064,-7.62,-7.62,-7.62,67,0,0.56,CN,1674925371
qasigiannguit,68.8193,-51.1922,-8.86,-8.86,-8.86,88,100,5.82,GL,1674925371
abu samrah,35.3029,37.1841,12.78,12.78,12.78,69,68,3.53,SY,1674925371
dubbo,-32.25,148.6167,22.07,22.07,22.07,64,100,2.06,AU,1674925213
taoudenni,22.6783,-3.9836,20.65,20.65,20.65,17,39,1.49,ML,1674925372
great yarmouth,52.6083,1.7305,5.15,5.57,4.97,87,69,2.7,GB,1674925372
zeya,53.75,127.2667,-36.48,-36.48,-36.48,100,73,1.29,RU,1674925372
leningradskiy,69.3833,178.4167,-16.95,-16.95,-16.95,95,100,5.29,RU,1674925373
arlit,18.7369,7.3853,24.92,24.92,24.92,9,57,4.25,NE,1674925373
qaanaaq,77.484,-69.3632,-19.58,-19.58,-19.58,59,6,4.2,GL,1674925373
beringovskiy,63.05,179.3167,-9.53,-9.53,-9.53,97,93,3.15,RU,1674925373
liku,-0.7275,119.8922,24.36,24.36,24.36,89,100,0.64,ID,1674925373
barrow,71.2906,-156.7887,-22.99,-22.99,-22.99,77,75,6.69,US,1674925244
lata,40.1629,-8.3327,12.12,12.12,11.71,56,0,3.32,PT,1674925374
port elizabeth,-33.918,25.5701,17.78,18.16,17.4,97,100,6.17,ZA,1674925335
pochutla,15.7432,-96.4661,31.57,31.57,30.9,38,0,2.66,MX,1674925374
merrill,45.1805,-89.6835,-12.89,-11.17,-13.9,75,100,0.45,US,1674925374
dikson,73.5069,80.5464,-24.41,-24.41,-24.41,97,100,3.77,RU,1674925374
palmer,42.1584,-72.3287,7.62,8.84,6.34,47,22,3.13,US,1674925375
bluff,-46.6,168.3333,14.3,14.3,14.3,80,31,2.47,NZ,1674925375
laguna,38.421,-121.4238,6.12,10.6,4.47,90,0,0.0,US,1674925375
cape town,-33.9258,18.4232,19.03,20.06,18.27,56,40,12.35,ZA,1674925145
narsaq,60.9167,-46.05,-3.88,-3.88,-3.88,69,100,10.22,GL,1674925375
fairview,40.8126,-73.999,9.29,10.86,7.89,46,0,6.69,US,1674925376
mar del plata,-38.0023,-57.5575,22.8,27.13,21.04,81,63,2.68,AR,1674925376
aksu,41.1231,80.2644,-11.86,-11.86,-11.86,90,79,1.94,CN,1674925376
gigmoto,13.7796,124.39,24.07,24.07,24.07,91,100,10.46,PH,1674925376
kodiak,57.79,-152.4072,-0.27,-0.27,-0.27,100,100,2.57,US,1674925377
lagoa,39.05,-27.9833,14.03,14.03,14.03,78,70,5.92,PT,1674925377
sola,-13.8833,167.55,27.6,27.6,27.6,74,63,3.45,VU,1674925378
ostrovskoye,57.8057,42.2433,-19.72,-19.72,-19.72,100,68,1.71,RU,1674925378
klaksvik,62.2266,-6.589,6.51,6.51,6.51,84,100,12.43,FO,1674925379
pascagoula,30.3658,-88.5561,17.19,18.0,15.84,45,0,5.66,US,1674925379
son la,21.3167,103.9,7.44,7.44,7.44,67,1,1.42,VN,1674925203
ostrovnoy,68.0531,39.5131,-2.27,-2.27,-2.27,87,100,11.96,RU,1674925379
mount isa,-20.7333,139.5,24.87,24.87,24.87,78,40,5.14,AU,1674925204
salalah,17.0151,54.0924,24.05,24.05,24.05,35,0,4.63,OM,1674925380
tasiilaq,65.6145,-37.6368,-3.91,-3.91,-3.91,95,100,5.22,GL,1674925380
umm kaddadah,13.6017,26.6876,26.24,26.24,26.24,8,92,5.34,SD,1674925380
castro,-24.7911,-50.0119,28.25,28.25,28.25,46,0,2.69,BR,1674925381
san quintin,30.4833,-115.95,14.36,14.36,14.36,47,87,1.52,MX,1674925381
urusha,54.05,122.9,-29.76,-29.76,-29.76,99,100,0.74,RU,1674925381
haradok,55.4624,29.9816,-8.53,-8.53,-8.53,99,37,1.21,BY,1674925381
iqaluit,63.7506,-68.5145,-40.92,-40.92,-40.92,88,22,1.4,CA,1674925357
avarua,-21.2078,-159.775,26.03,26.03,26.03,83,40,4.63,CK,1674925381
valparaiso,-33.0393,-71.6273,19.71,21.67,19.71,100,0,3.42,CL,1674925382
bonavista,48.6499,-53.1147,-3.35,-3.35,-3.35,60,40,1.51,CA,1674925382
dakar,14.6937,-17.4441,32.49,32.49,32.49,59,47,8.7,SN,1674925213
nipawin,53.3668,-104.0009,-23.7,-23.7,-23.7,91,17,4.48,CA,1674925382
pendleton,45.6721,-118.7886,3.25,4.23,1.67,85,100,4.12,US,1674925383
duku,11.2361,4.9073,34.78,34.78,34.78,8,88,2.89,NG,1674925383
kaitangata,-46.2817,169.8464,9.71,9.71,9.71,92,5,1.44,NZ,1674925383
sydney,-33.8679,151.2073,23.46,24.24,22.49,90,67,1.34,AU,1674924792
verkhoyansk,67.5447,133.385,-48.58,-48.58,-48.58,100,81,0.61,RU,1674925212
namibe,-15.1961,12.1522,24.75,24.75,24.75,80,99,5.0,AO,1674925384
krasnaya gora,52.9995,31.6023,-1.92,-1.92,-1.92,78,99,1.85,RU,1674925384
bulawayo,-20.15,28.5833,24.87,24.87,24.87,29,11,1.5,ZW,1674925384
fort collins,40.5853,-105.0844,-3.52,0.09,-4.76,83,100,2.24,US,1674925385
sorong,-0.8833,131.25,25.89,25.89,25.89,84,100,0.64,ID,1674925385
saint george,37.1041,-113.5841,4.61,4.68,2.33,61,0,0.89,US,1674925386
nikolskoye,59.7035,30.7861,-5.06,-5.05,-5.68,87,97,5.12,RU,1674925386
encruzilhada,-15.5314,-40.9094,25.71,25.71,25.71,74,94,2.09,BR,1674925387
rio grande,-32.035,-52.0986,29.44,29.44,29.44,63,75,4.54,BR,1674925387
olga,43.7444,135.2892,-19.15,-19.15,-19.15,67,0,5.41,RU,1674925387
lewistown,40.5992,-77.5714,9.37,10.45,7.78,70,0,4.63,US,1674925387
the valley,18.217,-63.0578,25.33,25.61,25.05,71,14,7.91,AI,1674925388
bilma,18.6853,12.9164,28.7,28.7,28.7,9,100,3.55,NE,1674925388
norman wells,65.282,-126.8329,-30.11,-30.11,-30.11,97,42,1.85,CA,1674925388
vinh,18.6667,105.6667,12.61,12.61,12.61,71,29,1.52,VN,1674924919
acapulco,16.8634,-99.8901,29.9,29.9,29.9,51,0,1.54,MX,1674925389
vestmannaeyjar,63.4427,-20.2734,7.52,7.52,7.52,84,90,11.03,IS,1674925389
cairns,-16.9167,145.7667,25.52,26.7,25.06,94,40,2.57,AU,1674924988
portland,45.5234,-122.6762,5.67,6.99,3.85,95,100,2.24,US,1674925284
cadillac,44.2519,-85.4012,-5.05,-5.05,-5.11,68,40,2.06,US,1674925390
port keats,-14.25,129.55,27.07,27.07,27.07,80,100,2.58,AU,1674925390
port hedland,-20.3167,118.5667,28.03,28.03,28.03,83,40,0.0,AU,1674925211
maceio,-9.6658,-35.7353,30.69,30.69,30.69,58,20,6.69,BR,1674925391
narrabri,-30.3167,149.7833,27.51,27.51,27.51,55,42,1.79,AU,1674925391
warrington,53.3925,-2.5802,6.72,7.79,6.04,94,100,3.6,GB,1674925392
vila,42.0304,-8.1588,4.28,5.49,4.28,68,15,3.69,PT,1674925392
gayny,60.3071,54.3241,-9.89,-9.89,-9.89,90,83,3.69,RU,1674925392
goroka,-6.0834,145.3873,16.11,16.11,16.11,97,94,0.43,PG,1674925392
atuona,-9.8,-139.0333,25.95,25.95,25.95,79,97,9.13,PF,1674925393
homer,59.6425,-151.5483,1.56,3.76,1.56,81,100,4.02,US,1674925335
shitanjing,39.2342,106.3439,-7.16,-7.16,-7.16,31,0,5.12,CN,1674925393
guabito,9.5,-82.6167,23.02,23.02,23.02,87,93,2.04,PA,1674925393
gornyak,50.9942,81.4661,-12.71,-12.71,-12.71,71,0,6.55,RU,1674925393
hawalli,29.2833,47.9972,15.55,16.62,12.05,58,0,2.06,KW,1674925394
malindi,-3.2175,40.1191,25.0,25.0,25.0,78,5,6.47,KE,1674925394
show low,34.2542,-110.0298,3.63,4.45,2.56,33,100,9.77,US,1674925394
broome,42.2506,-75.833,4.81,6.11,3.43,53,0,6.17,US,1674925394
alyangula,-13.8483,136.4192,26.82,26.82,26.82,81,99,1.96,AU,1674925395
carmen,18.6333,-91.8333,25.02,25.02,25.02,73,40,5.66,MX,1674925395
arroyo,41.6096,-4.7969,4.72,5.06,4.22,60,14,1.34,ES,1674925395
bambous virieux,-20.3428,57.7575,26.23,26.23,26.23,85,78,2.07,MU,1674925395
jiupu,41.0667,122.95,-6.51,-6.51,-6.51,59,12,4.13,CN,1674925395
rzhaksa,52.1338,42.0264,-10.22,-10.22,-10.22,93,84,2.82,RU,1674925396
cabedelo,-6.9811,-34.8339,30.37,30.37,30.37,59,9,6.77,BR,1674925396
panguipulli,-39.6333,-72.3333,26.5,26.5,26.5,26,0,2.25,CL,1674925396
lahaina,20.8783,-156.6825,20.86,21.58,18.48,99,100,5.53,US,1674925396
saint-philippe,-21.3585,55.7679,26.77,26.77,25.06,90,100,0.94,RE,1674925397
airai,-8.9266,125.4092,16.29,16.29,16.29,93,93,0.48,TL,1674925397
ambilobe,-13.2,49.05,24.89,24.89,24.89,89,79,1.29,MG,1674925397
roma,43.2128,-75.4557,3.74,4.42,3.06,70,64,6.14,US,1674925398
bredasdorp,-34.5322,20.0403,16.89,16.89,16.89,66,100,6.03,ZA,1674925273
ketchikan,55.3422,-131.6461,2.26,4.99,2.26,75,0,3.6,US,1674925398
nabire,-3.3667,135.4833,23.82,23.82,23.82,94,100,2.28,ID,1674925398
shigony,53.3875,48.6777,-15.71,-15.71,-15.71,100,58,0.63,RU,1674925398
yerofey pavlovich,53.9667,121.9667,-26.95,-26.95,-26.95,98,99,0.96,RU,1674925399
olafsvik,64.8945,-23.7142,4.6,4.6,4.6,85,79,8.23,IS,1674925399
luderitz,-26.6481,15.1594,23.06,23.06,23.06,61,0,13.04,NA,1674925220
forlimpopoli,44.1911,12.1287,4.35,6.84,3.53,74,40,1.03,IT,1674925400
doka,13.5167,35.7667,29.23,29.23,29.23,16,63,4.83,SD,1674925400
port lincoln,-34.7333,135.8667,18.0,18.0,18.0,92,100,6.08,AU,1674925400
cherskiy,68.75,161.3,-28.71,-28.71,-28.71,95,100,0.55,RU,1674925400
makakilo city,21.3469,-158.0858,20.18,21.18,18.58,78,0,4.63,US,1674925401
ypsonas,34.6884,32.9574,14.63,16.47,14.54,67,0,3.6,CY,1674925402
mitu,1.1983,-70.1733,32.83,32.83,32.83,36,88,2.07,CO,1674925402
manokwari,-0.8667,134.0833,25.4,25.4,25.4,84,100,1.37,ID,1674925402
carthage,36.8611,10.3316,11.74,11.74,11.74,54,40,4.12,TN,1674925402
clyde river,70.4692,-68.5914,-19.87,-19.87,-19.87,84,100,10.8,CA,1674925351
fengrun,39.8333,118.1167,-4.29,-4.29,-4.29,32,0,2.92,CN,1674925403
temerloh,3.4483,102.4176,22.77,22.77,22.77,99,100,0.89,MY,1674925403
cruzeiro do oeste,-23.785,-53.0733,32.95,32.95,32.95,41,7,2.24,BR,1674925403
gwanda,-20.9333,29.0,28.26,28.26,28.26,27,57,3.2,ZW,1674925404
carauari,-4.8828,-66.8958,24.22,24.22,24.22,91,100,1.15,BR,1674925404
disna,55.568,28.1971,-9.66,-9.66,-9.66,98,31,1.66,BY,1674925404
itarema,-2.9248,-39.9167,30.27,30.27,30.27,59,30,6.99,BR,1674925405
biak,-0.9131,122.8766,24.59,24.59,24.59,87,94,1.05,ID,1674925405
plouzane,48.3833,-4.6167,6.07,6.18,6.03,70,100,4.63,FR,1674925405
kiruna,67.8557,20.2251,-6.49,-6.49,-6.49,73,0,4.12,SE,1674925406
aklavik,68.2191,-135.0107,-25.79,-25.79,-25.79,95,52,6.83,CA,1674925406
longyearbyen,78.2186,15.6401,-5.09,-5.09,-5.09,74,40,8.23,SJ,1674925406
marsabit,2.3284,37.9899,23.41,23.41,23.41,30,0,4.16,KE,1674925407
ponta delgada,37.7333,-25.6667,14.4,14.4,14.4,77,40,6.69,PT,1674925407
lompoc,34.6391,-120.4579,9.67,10.85,8.08,84,100,1.54,US,1674925407
los llanos de aridane,28.6585,-17.9182,14.51,15.86,14.51,82,75,8.23,ES,1674925408
liuzhou,24.3126,109.3892,9.18,9.18,9.18,25,66,2.46,CN,1674925408
matay,28.419,30.7792,20.26,20.26,20.26,17,87,4.01,EG,1674925408
daru,-9.0763,143.2092,26.61,26.61,26.61,83,83,2.37,PG,1674925409
nerchinskiy zavod,51.3088,119.61,-31.85,-31.85,-31.85,100,82,0.53,RU,1674925409
channel-port aux basques,47.5702,-59.1367,-1.64,-1.64,-1.64,63,89,5.62,CA,1674925409
severodvinsk,64.5635,39.8302,-1.94,-1.94,-2.16,83,100,7.59,RU,1674925410
souillac,-20.5167,57.5167,26.59,26.59,26.59,86,81,2.58,MU,1674925410
sobolevo,54.4299,31.8996,-3.55,-3.55,-3.55,88,89,0.64,RU,1674925411
botou,38.0667,116.5667,-1.81,-1.81,-1.81,24,0,4.53,CN,1674925411
belaya gora,68.5333,146.4167,-37.06,-37.06,-37.06,100,100,1.11,RU,1674925411
kijang,35.2442,129.2139,-0.75,-0.75,-0.75,61,3,4.12,KR,1674925412
ust-nera,64.5667,143.2,-36.33,-36.33,-36.33,98,87,1.24,RU,1674925412
sawakin,19.1059,37.3321,24.43,24.43,24.43,75,54,3.17,SD,1674925412
estelle,29.8458,-90.1067,19.06,20.56,17.78,55,40,7.2,US,1674925412
egvekinot,66.3167,-179.1667,-10.92,-10.92,-10.92,97,100,0.97,RU,1674925413
rio brilhante,-21.8019,-54.5464,32.28,32.28,32.28,49,23,3.23,BR,1674925413
singaraja,-8.112,115.0882,24.69,24.69,24.69,93,100,2.04,ID,1674925413
vila velha,-20.3297,-40.2925,29.41,29.97,29.41,76,20,6.69,BR,1674925413
mantua,45.1667,10.7833,4.91,5.34,3.86,70,14,0.45,IT,1674925414
kharp,66.8014,65.8081,-18.7,-18.7,-18.7,93,74,3.05,RU,1674925414
chajul,15.4853,-91.0342,19.02,19.02,19.02,53,36,2.57,GT,1674925414
mogadishu,2.0371,45.3438,24.98,24.98,24.98,80,0,10.49,SO,1674925415
lagos,6.5833,3.75,29.07,29.07,29.07,70,89,4.57,NG,1674925415
sitka,57.0531,-135.33,0.94,0.94,0.94,80,0,2.06,US,1674925416
bethel,41.3712,-73.414,8.14,9.7,6.49,50,0,5.66,US,1674925416
afsin,38.2477,36.914,1.12,1.12,1.12,99,100,0.99,TR,1674925416
noumea,-22.2763,166.4572,25.56,25.56,21.99,99,99,2.34,NC,1674924975
igarka,67.4667,86.5833,-16.52,-16.52,-16.52,96,99,4.75,RU,1674925417
caravelas,-17.7125,-39.2481,29.65,29.65,29.65,60,76,5.1,BR,1674925417
san jose,37.3394,-121.895,8.59,11.62,5.72,82,100,1.34,US,1674925211
srednekolymsk,67.45,153.6833,-31.61,-31.61,-31.61,98,96,0.66,RU,1674925417
anadyr,64.75,177.4833,-8.61,-8.61,-8.61,94,98,2.96,RU,1674925418
conde,-7.2597,-34.9075,29.7,29.7,29.7,58,40,8.23,BR,1674925418
yerbogachen,61.2767,108.0108,-26.7,-26.7,-26.7,100,100,0.48,RU,1674925419
luganville,-15.5333,167.1667,26.65,26.65,26.65,82,9,1.52,VU,1674925419
jardim,-21.4803,-56.1381,33.47,33.47,33.47,43,39,3.13,BR,1674925420
alto araguaia,-17.3147,-53.2153,25.85,25.85,25.85,67,62,4.89,BR,1674925420
dingle,10.9995,122.6711,23.57,23.57,23.57,93,94,5.61,PH,1674925420
ancud,-41.8697,-73.8203,18.12,18.12,18.12,64,24,3.79,CL,1674925421
houma,29.5958,-90.7195,20.26,20.57,19.44,63,0,8.23,US,1674925421
kungalv,57.871,11.9805,2.7,4.54,1.35,95,100,5.13,SE,1674925421
greencastle,39.6445,-86.8647,5.04,8.83,2.59,74,75,3.09,US,1674925421
touros,-5.1989,-35.4608,30.17,30.17,30.17,52,9,7.7,BR,1674925422
torbay,47.6666,-52.7314,-1.31,-0.14,-2.5,65,9,1.34,CA,1674925423
